,Unnamed: 0,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date,Unnamed: 0,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date,Unnamed: 0,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date,Unnamed: 0,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date,Unnamed: 0,emotion_str,country,tweet,date,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm
32,32,anger,United States,1992,United States,USA,840,United States,64.2,Statista,454626.0,31.028037383177573,February,32,anger,United Arab Emirates,30,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,5.7581573896353175,March,32,anger,Uganda,12,Uganda,UGA,800,,,,,,April,32,boredom,Australia,36,Australia,AUS,36,Australia,5.0,Statista,22578.0,7.2,May,56,depressed,China,18,June,China,CHN,156,China,2.0,NY Times,7482.0,9.0
33,33,boredom,Australia,24,Australia,AUS,36,Australia,4.1,Statista,22578.0,5.853658536585367,February,33,anger,United Kingdom,690,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,38.87323943661972,March,33,anger,United Arab Emirates,42,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,8.061420345489442,April,33,boredom,Brazil,6,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,0.4181184668989547,May,57,depressed,France,33,June,France,FRA,250,France,8.9,Statista,3192.0,3.7078651685393256
34,34,boredom,Belgium,6,Belgium,BEL,56,Belgium,1.0,,2268.0,6.0,February,34,anger,United States,4320,United States,USA,840,United States,64.2,Statista,454626.0,67.28971962616822,March,34,anger,United Kingdom,936,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,52.73239436619718,April,34,boredom,Canada,42,Canada,CAN,124,Canada,8.15,Statista,38382.0,5.153374233128834,May,58,depressed,Germany,51,June,Germany,DEU,276,Germany,6.1,Statista,4140.0,8.360655737704919
35,35,boredom,Brazil,6,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,0.4181184668989547,February,35,boredom,Australia,66,Australia,AUS,36,Australia,5.0,Statista,22578.0,13.2,March,35,anger,United States,3198,United States,USA,840,United States,64.2,Statista,454626.0,49.81308411214953,April,35,boredom,France,18,France,FRA,250,France,8.9,Statista,3192.0,2.02247191011236,May,59,depressed,Ghana,45,June,Ghana,GHA,288,Ghana,2.0,,6312.0,22.5
36,36,boredom,Canada,60,Canada,CAN,124,Canada,8.15,Statista,38382.0,7.361963190184048,February,36,boredom,Brazil,6,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,0.4181184668989547,March,36,boredom,Australia,72,Australia,AUS,36,Australia,5.0,Statista,22578.0,14.4,April,36,boredom,Germany,12,Germany,DEU,276,Germany,6.1,Statista,4140.0,1.9672131147540983,May,60,depressed,Hong Kong,9,June,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,6.0
37,37,boredom,China,48,China,CHN,156,China,2.0,NY Times,7482.0,24.0,February,37,boredom,Canada,126,Canada,CAN,124,Canada,8.15,Statista,38382.0,15.460122699386506,March,37,boredom,Belgium,12,Belgium,BEL,56,Belgium,1.0,,2268.0,12.0,April,37,boredom,Ghana,24,Ghana,GHA,288,Ghana,2.0,,6312.0,12.0,May,61,depressed,India,1212,June,India,IND,356,India,13.15,Statista,90480.0,92.16730038022814
38,38,boredom,France,12,France,FRA,250,France,8.9,Statista,3192.0,1.348314606741573,February,38,boredom,China,18,China,CHN,156,China,2.0,NY Times,7482.0,9.0,March,38,boredom,Brazil,6,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,0.4181184668989547,April,38,boredom,India,126,India,IND,356,India,13.15,Statista,90480.0,9.581749049429657,May,62,depressed,Indonesia,87,June,Indonesia,IDN,360,Indonesia,11.8,,3954.0,7.372881355932202
39,39,boredom,Ghana,12,Ghana,GHA,288,Ghana,2.0,,6312.0,6.0,February,39,boredom,France,24,France,FRA,250,France,8.9,Statista,3192.0,2.696629213483146,March,39,boredom,Canada,108,Canada,CAN,124,Canada,8.15,Statista,38382.0,13.251533742331288,April,39,boredom,Indonesia,6,Indonesia,IDN,360,Indonesia,11.8,,3954.0,0.5084745762711864,May,63,depressed,Ireland,246,June,Ireland,IRL,372,Ireland,2.5,,12138.0,98.4
40,40,boredom,Hong Kong,30,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,20.0,February,40,boredom,Germany,24,Germany,DEU,276,Germany,6.1,Statista,4140.0,3.9344262295081966,March,40,boredom,France,6,France,FRA,250,France,8.9,Statista,3192.0,0.6741573033707865,April,40,boredom,Ireland,12,Ireland,IRL,372,Ireland,2.5,,12138.0,4.8,May,64,depressed,Italy,33,June,Italy,ITA,380,Italy,2.5,,3822.0,13.2
41,41,boredom,India,12,India,IND,356,India,13.15,Statista,90480.0,0.9125475285171104,February,41,boredom,Ghana,36,Ghana,GHA,288,Ghana,2.0,,6312.0,18.0,March,41,boredom,Germany,6,Germany,DEU,276,Germany,6.1,Statista,4140.0,0.9836065573770492,April,41,boredom,Italy,6,Italy,ITA,380,Italy,2.5,,3822.0,2.4,May,65,depressed,Japan,21,June,Japan,JPN,392,Japan,48.45,Statista,4314.0,0.4334365325077399
